t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
3215.0418534399996,-140932693563685.28,-70239375387607.2,-45601481940239.3,-46488008543275.51,-159476159139125.8,-81821075415862.67,-153278168029068.7,-80248754892561.3,-47269935619716.25,-39022084405383.42,-9634317680551.906,35370237612175.87,4.588463003729747e+16,3.0887027502509476e+18,2.8180119684610483e+17,7.155993163601175e+16,3.745417721188768e+16,2.569753278047003e+16,2.5772689861499636e+16,7.882856308314557e+16,4.2290637604308e+16,7.634486797413478e+16,4.185915527541073e+16,2.6013330319888064e+16,2.2046893734956904e+16,3.0354435089438645e+20,3.2097909349909936e+16,1.2573320489302134e+17,2.037157442802288e+17,3.4337123764113715e+18,3.013365448536048e+17,9.76380792523272e+16,5.613272928720574e+16,4.665413057591396e+16,4.2739960617209576e+16,9.861537763703413e+16,5.6077998400138024e+16,9.79123869799747e+16,5.766353165466035e+16,4.196840128281531e+16,3.92571172465806e+16,1.7596207608448618e+20
3958.050224127999,-173272342368019.9,-86341352262769.12,-57231218360559.57,-56980644978765.91,-195494397927679.4,-100481146140104.1,-187788133652584.25,-99509889052830.9,-57564824110776.73,-47401734384800.48,-18662417894141.527,31975703101228.117,4.958597173409166e+16,4.0554753773117517e+18,3.445295346384495e+17,8.679037104207598e+16,4.5271565250919816e+16,3.156714822988849e+16,3.0944029987428544e+16,9.540425995348227e+16,5.1128071017590456e+16,9.232572181106203e+16,5.106462359382598e+16,3.107553279761417e+16,2.6229808965893344e+16,3.593962862741996e+20,3.481310331405409e+16,1.3650566666251504e+17,2.209047417106609e+17,4.5150268073067443e+18,3.685662832032979e+17,1.184088898261693e+17,6.785280670329361e+16,5.731143743903116e+16,5.135699858389304e+16,1.1934101670935912e+17,6.778754497463169e+16,1.1839673652081776e+17,7.031823801426267e+16,5.011515896942656e+16,4.6713914487358536e+16,2.206982409125006e+20
4849.660268953599,-210968411240735.2,-104983068500167.64,-70959858254999.94,-68013185982064.95,-237433742638244.5,-122238286526505.38,-227822037549582.6,-122435099922563.39,-68898441179723.414,-56413312203747.63,-32960538245521.656,29081964186536.83,5.30320948405301e+16,5.270193189273074e+18,4.157605898706428e+17,1.0448776117482835e+17,5.428682083741515e+16,3.845291044917112e+16,3.633279092303449e+16,1.146444403550297e+17,6.1392441742425096e+16,1.1080621760098784e+17,6.19744979620096e+16,3.661564768521948e+16,3.070024575966988e+16,4.216721056930604e+20,3.7375231903838344e+16,1.4670668136991984e+17,2.371140081142881e+17,5.875983908956488e+18,4.451626050114392e+17,1.4253609499779283e+17,8.137099634533208e+16,6.98089715684231e+16,6.03609670621697e+16,1.433908020112827e+17,8.138759401818197e+16,1.4207569899571691e+17,8.530260019174806e+16,5.901172568922595e+16,5.46883057908612e+16,2.647699293038937e+20
5919.592322744319,-254807562656278.22,-126531864060392.72,-87003711812328.67,-79019519749714.52,-286176931323290.0,-147650848227901.1,-274141988123682.0,-149836826000800.94,-81119188941832.28,-65832017168245.055,-54252530819601.44,26652762626274.98,5.6128674076231864e+16,6.785225683461287e+18,4.9455483384320454e+17,1.2501234228378304e+17,6.467358324564075e+16,4.645453002100167e+16,4.1669537531077464e+16,1.369438873432616e+17,7.334215661221173e+16,1.32129317753616e+17,7.49648863252825e+16,4.255839252837153e+16,3.534875021672074e+16,4.9163050060346085e+20,3.971147506958429e+16,1.5604365109095968e+17,2.5188380023677555e+17,7.576360137399786e+18,5.30306366022964e+17,1.7050687196615533e+17,9.6948614274922e+16,8.432401059982106e+16,6.930121600371414e+16,1.71254471854125e+17,9.722265264087027e+16,1.6938376155559178e+17,1.0312663037733251e+17,6.852686854839364e+16,6.298512252916468e+16,3.063507407811556e+20
7203.510787293182,-305674489206508.56,-151447733957808.94,-105520910643379.22,-89397704781170.34,-342721257734616.1,-177467727447760.03,-327609329297504.8,-182769694827943.62,-93964630587319.27,-75356024857144.81,-84522443413707.25,24661660208372.484,5.88028340175758e+16,8.658285547282048e+18,5.789315258255692e+17,1.487687696258229e+17,7.664975895131646e+16,5.564417745803976e+16,4.66739596436977e+16,1.627479602092109e+17,8.732439812779712e+16,1.5668232888178787e+17,9.052309710687653e+16,4.877530997002429e+16,4.002919986938858e+16,5.709155901190565e+20,4.1760929667182456e+16,1.642672509561129e+17,2.648310146408715e+17,9.68238059934543e+18,6.220568902151148e+17,2.028674968186541e+17,1.1491238370266154e+17,1.0098398903248203e+17,7.770424876539174e+16,2.0348383672950554e+17,1.1575646275817358e+17,2.008104615519419e+17,1.2445081864344845e+17,7.844411735313629e+16,7.134310258839336e+16,3.451775438889298e+20
8744.212944751818,-364559379529099.7,-180347712951056.0,-126600844156050.19,-98649397625933.19,-408184454422870.56,-212738580631506.75,-389205984083101.0,-222604068479568.62,-107028970342605.56,-84615599808162.0,-126005134004966.28,23080975238466.113,6.101316341699295e+16,1.0949699598576886e+19,6.65910513982772e+17,1.7620939408250272e+17,9.05079753349486e+16,6.606209993523e+16,5.111916140138543e+16,1.925551208153115e+17,1.0382570529468702e+17,1.8490637632571776e+17,1.0928099481103701e+17,5.506989861391952e+16,4.456321542921975e+16,6.614169096831525e+20,4.3482984492468344e+16,1.7120570446733498e+17,2.7570185237679603e+17,1.2263664941898068e+19,7.17313447313349e+17,2.4022764883389446e+17,1.3569894692456666e+17,1.198596118072197e+17,8.518335049676109e+16,2.40696079342765e+17,1.3763968670734251e+17,2.36912215865951e+17,1.5013206634736688e+17,8.844179862483258e+16,7.944334963744902e+16,3.8199427953735565e+20
10593.055533702181,-432558750250141.06,-214098539370636.62,-150272778284886.84,-106496594440046.11,-483801310052837.56,-254931740621341.38,-460056071483094.1,-271097229081289.34,-119755418891970.36,-93203743889459.5,-181133604914565.2,21874638310299.305,6.275443081868787e+16,1.371909596910222e+19,7.518345913954317e+17,2.0783444185619453e+17,1.0665876045819805e+17,7.772123264358333e+16,5.488381314839818e+16,2.269153110033125e+17,1.2352432735956798e+17,2.173058877042772e+17,1.3204696300803323e+17,6.117561347521326e+16,4.875532920306697e+16,7.651724478524929e+20,4.486256831969196e+16,1.767874443611908e+17,2.8440444349957034e+17,1.5389312945999446e+19,8.120868875537798e+17,2.832605918497705e+17,1.5991841728446765e+17,1.4097322780460912e+17,9.152812947898808e+16,2.835720958412974e+17,1.6377922513251418e+17,2.783242172345983e+17,1.8126859613216883e+17,9.809423547042349e+16,8.693649736263923e+16,4.177722066069659e+20
12811.666640442618,-510862474185046.9,-253907425227772.88,-176530056733391.1,-112908761303921.97,-570906265695586.2,-305955906567326.1,-541438666660158.1,-330432908193933.4,-131489751198132.48,-100733126043549.48,-252426693141917.2,20995757930085.848,6.405603055934172e+16,1.7022669801495093e+19,8.329093962910103e+17,2.4418585295402515e+17,1.2567168962472896e+17,9.061866748073925e+16,5.79614627574896e+16,2.6642212832519075e+17,1.4729567213796608e+17,2.5445401603789952e+17,1.5982306801600554e+17,6.678304079623671e+16,5.24207111404344e+16,8.843385548191102e+20,4.5911128207804824e+16,1.8104719633497248e+17,2.910143551021196e+17,1.9124408664543363e+19,9.020663896993298e+17,3.326948870757302e+17,1.8841581895545914e+17,1.6431870297841747e+17,9.67223362893329e+16,3.32847258244497e+17,1.9534319468867664e+17,3.2576741510878784e+17,2.192261152146433e+17,1.0691751717174603e+17,9.349189643988314e+16,4.531930065992005e+20
15473.999968531141,-600717226173376.9,-301324689154633.2,-205330258029032.16,-118026591540094.39,-670902651280211.0,-367939767044590.06,-634776619025987.1,-403186097235998.2,-141607445321133.06,-106908497751788.0,-342315831238717.75,20388571588053.633,6.4974768087828824e+16,2.0911834753261023e+19,9.057934422631613e+17,2.8583034438688042e+17,1.4827363192169507e+17,1.047341139773021e+17,6.042251326989595e+16,3.116991665742646e+17,1.7610553248017686e+17,2.969873199024291e+17,1.937879718566307e+17,7.160074487426887e+16,5.541992525942098e+16,1.0211987712857067e+21,4.666315859347413e+16,1.8411413512586934e+17,2.957520618071718e+17,2.352796975615418e+19,9.833221330863363e+17,3.892916592627407e+17,2.2227032822643213e+17,1.8985795404137834e+17,1.0088138967735006e+17,3.892948006678223e+17,2.336142894606323e+17,3.80042420153698e+17,2.656189685484541e+17,1.1446456694834547e+17,9.885945810485106e+16,4.884767093266109e+20
18668.799962237368,-703355071039772.9,-358039066151226.94,-236534841034590.66,-122050839694547.72,-785227359534712.6,-442784180793169.2,-741585821634300.1,-492182850157582.4,-149674711258169.6,-111591741768384.1,-452928091254302.06,19993404905983.227,6.558394344706723e+16,2.5432789363986186e+19,9.680586090131035e+17,3.333265901298357e+17,1.752492133928485e+17,1.1999906519489984e+17,6.23624303396014e+16,3.633844148813454e+17,2.108037131627116e+17,3.4558288722607264e+17,2.3523235204231098e+17,7.54303247347091e+16,5.768980719008134e+16,1.1781795753819448e+21,4.716914376288037e+16,1.861849308657585e+17,2.989380180757061e+17,2.8652056544265507e+19,1.052916631031292e+18,4.538004574922119e+17,2.6264975152307856e+17,2.1746541470886816e+17,1.0416493584580896e+17,4.537062556886433e+17,2.7971130506645856e+17,4.420019295841661e+17,3.222270366237977e+17,1.2043892853069032e+17,1.029249115137964e+17,5.2343455171490415e+20
22502.559954684843,-819877933706046.9,-425449587597697.75,-269850999524753.7,-125178252192934.12,-915315181855699.5,-531902986192327.94,-863383251542175.0,-600282271706040.1,-155565029018834.44,-114833646021704.86,-585856478084230.2,19752704288846.293,6.596138491071547e+16,3.0625189074766926e+19,1.0184279918917604e+18,3.8717234234903936e+17,2.072391199910336e+17,1.3626969582404491e+17,6.387376161435701e+16,4.221143496337633e+17,2.5201430905147043e+17,4.009173480284365e+17,2.8545975210802662e+17,7.821929412221603e+16,5.925822571657637e+16,1.3578530154754516e+21,4.748660929943289e+16,1.8748812697262032e+17,3.0093612118276883e+17,3.4540226717801878e+19,1.1092588379610898e+18,5.268878979437488e+17,3.1051029173877216e+17,2.4687962673111728e+17,1.067283842088591e+17,5.268707620493835e+17,3.3444588371833875e+17,5.125006593882853e+17,3.908622693455223e+17,1.2477270123376098e+17,1.0573652468229917e+17,5.576396689510022e+20
27103.07194562181,-951096052854245.4,-504266197017371.3,-304923893918379.44,-127598525556015.27,-1062534584193351.8,-636677329485224.8,-1001575018841946.9,-730162608874015.5,-159470107330992.28,-116853975154845.11,-741951787527940.9,19616297033901.344,6.617900873052132e+16,3.651812292623889e+19,1.0568046052331085e+18,4.477306731677597e+17,2.445573810076126e+17,1.533749386651688e+17,6.504642403634212e+16,4.8849483001798694e+17,3.003570809046542e+17,4.63617229519515e+17,3.456896851892525e+17,8.006431059827254e+16,6.023400186046485e+16,1.5629087102638204e+21,4.767137085535059e+16,1.8824831315725146e+17,3.020986927431227e+17,4.122333962986789e+19,1.1521683376434145e+18,6.090377395555028e+17,3.663190615095211e+17,2.7779013682945146e+17,1.087225442410881e+17,6.095377398271832e+17,3.9862714010029165e+17,5.923336895609509e+17,4.7323039216086605e+17,1.2762812868026432e+17,1.0748752541680802e+17,5.906453778648042e+20
