t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
3215.0418534399996,-144388653496013.88,-73873596005531.62,-48613292214872.7,-49546200638225.445,-162460729410430.3,-84462763456379.5,-156950414789059.1,-81289088071428.58,-49044223456050.055,-41276312270487.93,-14040265839883.61,-856299.0202220291,43949795563.44343,3.234281777717754e+18,2.8281359305372672e+17,7.255542665352779e+16,3.879820737490918e+16,2.6705323551687576e+16,2.6916166974152156e+16,7.972751320099056e+16,4.322431329528702e+16,7.754367964850181e+16,4.194522221589398e+16,2.652198943779583e+16,2.2798669750635064e+16,3.0385707334239126e+20,1.7614424248373903e+20
3958.050224127999,-176476265091975.2,-90442888577268.81,-60374773660993.01,-60674097050637.2,-198436791210757.4,-103377799518648.0,-191698903592587.8,-99702625718737.97,-59010545150736.44,-49542909976819.15,-24950669260340.17,-2175525.0241623363,117823347734.19127,4.237179362765643e+18,3.4559313217749325e+17,8.768020126587301e+16,4.685333552057509e+16,3.264603199622882e+16,3.2439740513304932e+16,9.62957361214238e+16,5.218872267051811e+16,9.365123552249286e+16,5.074565064868874e+16,3.1442574461298308e+16,2.695271632220598e+16,3.598071583840416e+20,2.2086645328674606e+20
4849.660268953599,-213783580234314.0,-109719229077085.66,-74375780688066.9,-72623509357198.16,-240283697944322.75,-125414652779736.42,-232074844487982.66,-121262486968901.03,-69881164154715.82,-58406292455844.77,-41471480864704.51,-4819427.425510551,285166715654.6304,5.494336916796037e+18,4.16893066869918e+17,1.0520928639160256e+17,5.6185106915422856e+16,3.967911029358048e+16,3.832872625762636e+16,1.1550627655763923e+17,6.2588343885238e+16,1.123071308312337e+17,6.100543480090366e+16,3.678025026393541e+16,3.1382428399428508e+16,4.221997897051912e+20,2.649108026988773e+20
5919.592322744319,-257046975174631.9,-132092553726979.08,-90951777822272.27,-84795285291417.02,-288854900280088.9,-151044631142835.12,-278874333785961.28,-146496211450222.78,-81483633482883.4,-67642271891853.586,-65369788016821.42,-9455009.405776232,630400731313.8607,7.058984377284273e+18,4.9579380605576794e+17,1.2547974289614562e+17,6.697630231629614e+16,4.796386198178646e+16,4.429161953939695e+16,1.3774085349995722e+17,7.463850296159328e+16,1.3386946613648346e+17,7.296768316736848e+16,4.244966017808436e+16,3.597750306713214e+16,4.9228794039605644e+20,3.064664912494631e+20
7203.510787293182,-307085942483724.9,-158003877755393.03,-110403356320611.03,-96485035046470.75,-345108709373003.1,-180807377768416.28,-332989521619438.8,-176032329955863.16,-93546088960686.36,-76953089127085.94,-98673511394315.25,-16640498.685865937,1284485334063.273,8.989648093446554e+18,5.803330546184979e+17,1.4886626404879626e+17,7.94335138660401e+16,5.764141760982158e+16,4.9991481386039784e+16,1.6342758315469312e+17,8.858559180972086e+16,1.5873907188164803e+17,8.6921667341133e+16,4.8317868215164e+16,4.05923749675283e+16,5.717051761253573e+20,3.452833271312495e+20
8744.212944751818,-364809720599707.4,-187957183665699.8,-132954281733275.73,-107048705834815.27,-410119204753235.1,-215327485398228.12,-395419873914448.2,-210625358892169.47,-105676455445139.2,-85977303785512.64,-143628933299199.38,-26560314.116202824,2430052001134.095,1.1347085500882512e+19,6.675406973490386e+17,1.757841373080526e+17,9.379280664495141e+16,6.881500489303873e+16,5.512480443854714e+16,1.9304580882666163e+17,1.0471484421498614e+17,1.8736447340183725e+17,1.0321421027929112e+17,5.419498436383728e+16,4.505105067546634e+16,6.623259123326502e+20,3.821103894121985e+20
10593.055533702181,-431220700140417.94,-222539103102564.66,-158706733077029.0,-116064392503300.42,-485085667039691.4,-255343691140879.56,-467281662669702.56,-251185722233943.47,-117362723599107.03,-94319649455865.1,-202610576026686.56,-38816846.75242223,4295174111830.5576,1.4190334580541649e+19,7.537557459247465e+17,2.0669067820655136e+17,1.1032903142239606e+17,8.152883022615594e+16,5.949694849430918e+16,2.2713020706000237e+17,1.2336395873136824e+17,2.202459914427058e+17,1.2226325194268106e+17,5.98353722303584e+16,4.916184879296168e+16,7.66169124430095e+20,4.1791430497101106e+20
12811.666640442618,-507410934966914.94,-262448177024981.47,-187603377301407.9,-123402927783734.1,-571336098519092.5,-301760385018228.6,-549812838218572.5,-298813533255190.75,-128020626931777.05,-101605924971114.94,-277984494376624.8,-52408091.68313778,7132830898736.729,1.7573214073213741e+19,8.351657876749432e+17,2.4208346824613696e+17,1.2936954286086442e+17,9.57503158263727e+16,6.305310255044363e+16,2.6627217762140595e+17,1.4494701309138445e+17,2.579377049290578e+17,1.445730725936019e+17,6.4961454134733416e+16,5.27442379648559e+16,8.853711112880893e+20,4.5335650653288425e+20
15473.999968531141,-594546968021085.5,-308529804110721.94,-219403007150951.75,-129168214017894.62,-670317119043874.9,-355732815506239.3,-644369999172216.1,-354832778493799.7,-137102581678274.11,-107553272018452.84,-371938821147235.6,-65944515.47589953,11188377875666.766,2.154246166409705e+19,9.084026429183514e+17,2.8249321593429366e+17,1.5131037808822275e+17,1.1135872799930184e+17,6.5847614795366104e+16,3.111150704590139e+17,1.699937663279072e+17,3.010458044657311e+17,1.7074952911960432e+17,6.931597370809421e+16,5.566289159215917e+16,1.0222018074676692e+21,4.8861496166072386e+20
18668.799962237368,-693836993657681.5,-361800003153276.4,-253653479963798.97,-133568115725332.03,-783558612754123.8,-418790536710293.3,-752413863671587.8,-420817830406130.5,-144240764016544.34,-112034092578948.22,-486307374493617.1,-78033237.59202912,16663198943709.652,2.6137388924841714e+19,9.710112273750614e+17,3.2846851985668064e+17,1.7662684721824832e+17,1.2813197749137562e+17,6.798195655513303e+16,3.62338082958355e+17,1.9920612743070602e+17,3.502217301137402e+17,2.015115183735942e+17,7.272933096755533e+16,5.785844739391659e+16,1.17909174096858e+21,5.2344388720742466e+20
22502.559954684843,-806473310218361.1,-423420792708002.0,-289670037120404.8,-136820838051114.58,-912599268236451.4,-492980420801502.1,-875479206174888.6,-498598553824535.0,-149354181742817.47,-115107555568595.44,-622416286623423.2,-87663022.10875797,23685651211344.21,3.1389627954734068e+19,1.0216933497219827e+18,3.805493360390005e+17,2.0586104161033206e+17,1.4573622611870694e+17,6.956117734097183e+16,4.206227130879136e+17,2.3352277761768266e+17,4.061483053374811e+17,2.3769232095391053e+17,7.516893502364014e+16,5.936244994131624e+16,1.358645968939531e+21,5.5736064935216415e+20
27103.07194562181,-933542937065093.8,-494587178250255.06,-326617171166666.4,-139137136791924.58,-1058863809554183.1,-580969624696777.6,-1015124027567813.6,-590228292705620.9,-152655962644031.16,-116998909352379.61,-780974879746910.9,-94425307.28932482,32297947777384.414,3.73216104600839e+19,1.0603378822500129e+18,4.392259384503002e+17,2.39567879293155e+17,1.6376678121814214e+17,7.0686747355351624e+16,4.86597782140745e+17,2.741642933377546e+17,4.6951657256474963e+17,2.8022373579248704e+17,7.674117703441128e+16,6.028694465804858e+16,1.5636286560078235e+21,5.8986564347698486e+20
