t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
1853.116706110001,-83050108569436.34,-41899451096909.55,-26889773726764.695,-27281000160540.95,-93539695297114.84,-48120058347930.38,-90212983822702.16,-46610060941312.66,-28714382532709.477,-24106389906693.19,-4899351133903.584,23181387242860.125,6.115140176591277e+16,1.553400194786731e+18,1.6216146329542822e+17,4.345243041028481e+16,2.3103098278231068e+16,1.5611162351162504e+16,1.56962118168278e+16,4.777256767199408e+16,2.5836680122676492e+16,4.6392569028067816e+16,2.523338519537224e+16,1.6372729348197826e+16,1.4066539434215742e+16,1.8859420800762135e+20,8.048004364964392e+19
2138.4283767210013,-96394044621440.4,-48652179144643.96,-31469771922550.3,-32022055214893.242,-108458741523923.36,-55868714783709.38,-104594873607608.84,-54284681330420.48,-33333883392338.76,-27983513221705.344,-7278680954817.109,22118299054576.71,6.262083336392987e+16,1.8864934670873462e+18,1.8799736257839667e+17,4.9813647491599304e+16,2.6434409577298732e+16,1.79672272765559e+16,1.810570706905707e+16,5.472031794946196e+16,2.9563678025874508e+16,5.3133935507439384e+16,2.895882230840695e+16,1.869877358839068e+16,1.6054670751078232e+16,2.1485160585259064e+20,1.005229491857e+20
2452.2712143931017,-110863522135140.7,-55950419514551.16,-36488849239520.375,-37170848106121.32,-124617957588566.97,-64253636057533.08,-120160712373293.61,-62650931329682.11,-38284738898291.64,-32122953241133.56,-10391283161547.332,21316279721075.957,6.374490608880184e+16,2.2674429182782308e+18,2.1625284583286762e+17,5.669067181670454e+16,3.0020538138242964e+16,2.0536592543798696e+16,2.070504560499802e+16,6.2223057404650056e+16,3.3580584564513492e+16,6.040822208033754e+16,3.30034829571014e+16,2.1178786522304936e+16,1.816555903404019e+16,2.4265023801533707e+20,1.236019646322e+20
2797.498335832412,-126545983774507.56,-63831673029545.016,-41988659042464.15,-42706886445999.36,-142113098509672.78,-73322918231678.89,-136996778601185.77,-71774903016409.16,-43568558853888.97,-36516141165487.51,-14392153182690.162,20726015934915.477,6.458130353546422e+16,2.7015758424504525e+18,2.47056297684094e+17,6.412422362825218e+16,3.38795623270326e+16,2.3339695090892136e+16,2.348270390650117e+16,7.032440079448892e+16,3.7909999475586136e+16,6.825493264966968e+16,3.739847142108349e+16,2.381329160197413e+16,2.039472857093199e+16,2.7194211443072342e+20,1.4907932348668815e+20
3177.2481694156536,-143534773330101.94,-72335830722326.0,-48012643036904.484,-48587033802879.95,-161046832379568.22,-83129143229772.33,-155194267132178.66,-81730931778162.31,-49181424772019.4,-41147336714571.77,-19466053628293.383,20303473027677.57,6.518567018593669e+16,3.1948400321912694e+18,2.8050650980481632e+17,7.215756195959182e+16,3.803058236483203e+16,2.6397580730285004e+16,2.641638987627647e+16,7.907087168540808e+16,4.257648560332422e+16,7.671561014615986e+16,4.217858961903364e+16,2.660010117796703e+16,2.273424256933317e+16,3.027108503080486e+20,1.760618773498246e+20
3594.9729863572193,-161929346222222.88,-81505332685003.11,-54604053251884.44,-54745004791863.12,-181529057852299.8,-93730121443800.02,-174849463960302.72,-92603010488780.08,-55113623509691.31,-45993700351590.5,-25826974281075.477,20009979036548.77,6.56090564262132e+16,3.7538283505674906e+18,3.166575649558414e+17,8.083662372636011e+16,4.2493823633517336e+16,2.973093000796734e+16,2.947301420194595e+16,8.851208672429085e+16,4.760694564492457e+16,8.583396345401517e+16,4.7383018489715544e+16,2.9534251156372096e+16,2.51727965479557e+16,3.3499170777381483e+20,2.0359017346261916e+20
4054.4702849929417,-181835601901763.03,-91385471028509.12,-61803645730830.22,-61093489035597.11,-203677322572324.9,-105189936101274.72,-196064114709195.97,-104486562223759.77,-61349739393871.65,-51025789766333.766,-33716772336177.855,19812598027406.07,6.589612487607758e+16,4.385780739164163e+18,3.5550154618567334e+17,9.021020354366574e+16,4.729080271063253e+16,3.3358979832976276e+16,3.260985726795192e+16,9.870096962321635e+16,5.303113091776196e+16,9.565606543244942e+16,5.3056153408400264e+16,3.260807412736127e+16,2.7695975678437172e+16,3.688838344505642e+20,2.3080281553775464e+20
4559.917313492237,-203366311661108.1,-102024942502870.58,-69647670303949.47,-67528639958646.17,-227617312040961.9,-117580419031229.64,-218945976064932.66,-117490600270999.88,-67868699090979.4,-56208143687265.23,-43403489102715.38,19684323403630.11,6.60841883426797e+16,5.098557731649467e+18,3.9695053490554176e+17,1.0033016696406832e+17,5.2444610676768616e+16,3.729864210818719e+16,3.5776785153537896e+16,1.096939868126283e+17,5.888234731419686e+16,1.0623062228513531e+17,5.924860940357848e+16,3.5811207417989348e+16,3.0286517431092204e+16,4.045532891255138e+20,2.5705013234505607e+20
5115.909044841461,-226641609639324.16,-113476808113292.67,-78166637508926.77,-73936257530539.66,-253483375244812.88,-130983267987995.06,-243609537303330.1,-131740292362943.4,-74643231177275.23,-61499613523691.82,-55179472561040.83,19603914104990.773,6.6203029823760104e+16,5.900578890479142e+18,4.408202677888202e+17,1.1125168509872078e+17,5.798038908371789e+16,4.15640161127037e+16,3.891919665448819e+16,1.215513927587872e+17,6.519845885817986e+16,1.1760931132192398e+17,6.601840490370192e+16,3.913028937109507e+16,3.292443150838305e+16,4.4222633507798896e+20,2.8195703656561184e+20
5727.499949325607,-251789506367263.2,-125800037381401.56,-87384860027266.61,-80198984981068.34,-281419043346279.94,-145493101532823.06,-270176893545214.28,-147379923611096.75,-81638375106057.19,-66853287529704.02,-69359228059207.375,19555379020281.29,6.627536090542237e+16,6.800718786773825e+18,4.868184376495193e+17,1.2303347393793269e+17,6.392608015548235e+16,4.6166246141843624e+16,4.19814072465768e+16,1.3433746736619886e+17,7.202332663003538e+16,1.2984718072169171e+17,7.343232184690723e+16,4.2548199509145256e+16,3.5586924576204544e+16,4.821747414821313e+20,3.054280600082572e+20
