t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
3215.0418534399996,-144388653851275.56,-73873596005531.61,-48613292214872.695,-49546200638225.445,-162460730236552.2,-84462763456379.5,-156950415373804.16,-81289088071428.58,-49044223456050.055,-41276312270487.94,-20895311433242.742,20477332906637.75,6.494253869350362e+16,3.2641190026380426e+18,2.828135930537268e+17,7.25554268399371e+16,3.879820737490918e+16,2.6705323551687576e+16,2.691616697415215e+16,7.972751362424494e+16,4.322431329528703e+16,7.754367995020195e+16,4.194522221589399e+16,2.652198943779583e+16,2.2798669750635064e+16,3.038571094855318e+20,1.7614424248373903e+20
3958.050224127999,-176476267384416.06,-90442888577268.81,-60374773660993.01,-60674097050637.2,-198436796083565.75,-103377799518648.02,-191698907183582.4,-99702625718737.97,-59010545150736.44,-49542909976819.16,-33225061466862.316,19981528087904.79,6.56537779793872e+16,4.274304136437906e+18,3.4559313217749325e+17,8.76802024421987e+16,4.685333552057509e+16,3.264603199622882e+16,3.2439740513304932e+16,9.62957385636419e+16,5.218872267051811e+16,9.365123733499688e+16,5.074565064868874e+16,3.1442574461298308e+16,2.695271632220598e+16,3.598072641831911e+20,2.2086645328674606e+20
4849.660268953599,-213783592187113.34,-109719229077085.66,-74375780688066.92,-72623509357198.17,-240283721270174.0,-125414652779736.42,-232074862386228.2,-121262486968901.02,-69881164154715.83,-58406292455844.77,-51023757079441.79,19715468753871.062,6.604028519816225e+16,5.5391259012417e+18,4.16893066869918e+17,1.0520929241233102e+17,5.6185106915422856e+16,3.967911029358048e+16,3.832872625762636e+16,1.1550628803668589e+17,6.2588343885238e+16,1.1230713970175262e+17,6.100543480090366e+16,3.678025026393541e+16,3.1382428399428508e+16,4.222000617181274e+20,2.649108026988773e+20
5919.592322744319,-257047026606430.16,-132092553726979.08,-90951777822272.28,-84795285291417.02,-288854992824606.06,-151044631142835.12,-278874407704092.78,-146496211450222.78,-81483633482883.4,-67642271891853.586,-76053195003106.28,19585774787676.49,6.62310070002135e+16,7.111644008647443e+18,4.9579380605576794e+17,1.2547976840746211e+17,6.697630231629614e+16,4.796386198178646e+16,4.429161953939695e+16,1.377408983574643e+17,7.463850296159328e+16,1.338695022207711e+17,7.296768316736848e+16,4.244966017808436e+16,3.597750306713214e+16,4.9228856415691696e+20,3.064664912494631e+20
7203.510787293182,-307086128524720.6,-158003877755393.06,-110403356320611.0,-96485035046470.77,-345109019394612.5,-180807377768416.3,-332989779219356.94,-176032329955863.16,-93546088960686.39,-76953089127085.94,-110353768643635.12,19528709751903.645,6.63160552072367e+16,9.050188053448252e+18,5.803330546184978e+17,1.4886635516166714e+17,7.94335138660401e+16,5.764141760982158e+16,4.9991481386039784e+16,1.6342773155148186e+17,8.858559180972086e+16,1.587391960677998e+17,8.692166734113301e+16,4.8317868215164e+16,4.05923749675283e+16,5.7170646935329204e+20,3.452833271312495e+20
8744.212944751818,-364810295735326.44,-187957183665699.9,-132954281733275.73,-107048705834815.27,-410120096464947.6,-215327485398228.16,-395420643901824.7,-210625358892169.8,-105676455445139.2,-85977303785512.64,-156185287695003.06,19506096609045.582,6.635042099877839e+16,1.1415290038034416e+19,6.675406973490386e+17,1.7578441602956192e+17,9.379280664495144e+16,6.881500489303873e+16,5.512480443854714e+16,1.9304623125224534e+17,1.0471484421498614e+17,1.8736484078093104e+17,1.0321421027929136e+17,5.419498436383727e+16,4.505105067546634e+16,6.623283660385234e+20,3.821103894121985e+20
10593.055533702181,-431222242625414.75,-222539103102565.62,-158706733077029.0,-116064392503300.4,-485087903023078.0,-255343691140879.56,-467283666266095.8,-251185722233949.03,-117362723599107.05,-94319649455865.11,-215929536134692.72,19497905643035.953,6.63634413422587e+16,1.4265750128370242e+19,7.537557459247465e+17,2.0669141925935494e+17,1.1032903142239648e+17,8.152883022615594e+16,5.949694849430918e+16,2.2713125726449824e+17,1.2336395873136824e+17,2.2024693926506547e+17,1.2226325194268386e+17,5.98353722303584e+16,4.916184879296168e+16,7.661734312210509e+20,4.1791430497101106e+20
12811.666640442618,-507414573559023.8,-262448177024991.1,-187603377301407.94,-123402927783734.1,-571341055519331.0,-301760385018228.6,-549817439258844.06,-298813533255279.44,-128020626931777.08,-101605924971114.95,-291953864963752.1,19494949200049.12,6.63687922612617e+16,1.765516939634005e+19,8.351657876749432e+17,2.4208520385604848e+17,1.293695428608691e+17,9.57503158263727e+16,6.305310255044363e+16,2.6627448944846365e+17,1.4494701309138445e+17,2.5793986617527648e+17,1.445730725936444e+17,6.4961454134733416e+16,5.27442379648559e+16,8.853781720546327e+20,4.5335650653288425e+20
15473.999968531141,-594554614290120.4,-308529804110797.9,-219403007150952.66,-129168214017894.7,-670326962120814.1,-355732815506240.1,-644379442727336.6,-354832778495038.75,-137102581678274.11,-107553272018452.84,-386446293212746.5,19493548215399.76,6.637204450543119e+16,2.1630125905924116e+19,9.084026429183512e+17,2.82496841751318e+17,1.5131037808825946e+17,1.1135872799930242e+17,6.584761479536611e+16,3.1111963435576326e+17,1.6999376632790778e+17,3.010502145257159e+17,1.7074952912019066e+17,6.931597370809421e+16,5.566289159215917e+16,1.0222127128586863e+21,4.8861496166072386e+20
18668.799962237368,-693851479985404.8,-361800003153793.3,-253653479963837.0,-133568115725333.94,-783576333646852.2,-418790536710322.94,-752431395407402.1,-420817830420810.56,-144240764016544.38,-112034092578948.22,-501244065134978.56,19492416991521.617,6.6375185237347144e+16,2.622985858071736e+19,9.710112273750614e+17,3.2847535585127123e+17,1.766268472184973e+17,1.281319774913952e+17,6.798195655513402e+16,3.6234626007844717e+17,1.9920612743071955e+17,3.502298776336908e+17,2.0151151838048666e+17,7.272933096755533e+16,5.785844739391659e+16,1.1791077306015899e+21,5.234438872074252e+20
