t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
3215.0418534399996,-146769691648389.1,-74234262528102.8,-48732075552615.24,-49764596054814.24,-165956893262668.22,-86323585767764.86,-159547405459538.28,-84651914334414.75,-50525616559376.914,-41911371022344.01,-12076621028940.652,35370237678315.84,4.5884627336081096e+16,3.085931158064341e+18,2.818011968461128e+17,6.862096829085039e+16,3.5491068710144292e+16,2.4259477768633772e+16,2.4294902695312828e+16,7.550357046153478e+16,4.0018308155921144e+16,7.314193750930312e+16,3.966442093946637e+16,2.44754151989684e+16,2.0703246057139676e+16,3.034616092628474e+20,3.2097907223636776e+16,1.2573319629784224e+17,2.0371573085755994e+17,3.4298624106600673e+18,3.0133654485361286e+17,9.336689604894787e+16,5.299560082523074e+16,4.389890497968654e+16,4.013268931418467e+16,9.420675378033629e+16,5.286724782432684e+16,9.35534760319093e+16,5.443680501692946e+16,3.933314364116263e+16,3.672796318154582e+16,1.7596203196229023e+20
3958.050224127999,-179482668052891.03,-90593135435340.6,-60606050302126.4,-60488840097110.28,-202386989274783.97,-105273697409020.05,-194449309970497.1,-104221793079690.14,-61022539052906.73,-50460806384607.305,-21675263197767.65,31975703359883.42,4.9585965686081704e+16,4.050735123015798e+18,3.445295346384597e+17,8.344227893481814e+16,4.303607123103343e+16,2.9916870353008216e+16,2.927619009344389e+16,9.162594732267403e+16,4.854278069727871e+16,8.868508190794451e+16,4.855635259761545e+16,2.9337716171092304e+16,2.471177866603053e+16,3.592816924848618e+20,3.481309865312871e+16,1.365056479216549e+17,2.2090471226086554e+17,4.5085747978118374e+18,3.6856628320330874e+17,1.1355092382358322e+17,6.428581212547603e+16,5.415307690351848e+16,4.841510520547436e+16,1.1433836158071813e+17,6.414026815074463e+16,1.1344942909187659e+17,6.663596543293707e+16,4.714114536426177e+16,4.38584439164422e+16,2.206980084334652e+20
4849.660268953599,-217557608846701.1,-109499637832110.66,-74595104345867.48,-71739389508721.38,-244746363434078.4,-127329484460893.9,-234878684167157.3,-127473607155462.84,-72554235114485.64,-59636588554273.305,-36495181460419.05,29081965003233.76,5.3032082790372936e+16,5.262573067029594e+18,4.1576058987065254e+17,1.006988975451203e+17,5.17617583774981e+16,3.6577321599393384e+16,3.44815774367622e+16,1.1037903774271118e+17,5.847140468153704e+16,1.0669544645707749e+17,5.91261601885646e+16,3.4674677207468296e+16,2.900901527743151e+16,4.215159935887418e+20,3.7375222814812216e+16,1.4670664502535363e+17,2.3711395063053875e+17,5.86580158930562e+18,4.451626050114484e+17,1.3704691673913134e+17,7.734746933504328e+16,6.622293276092853e+16,5.70957025053275e+16,1.3775057491972426e+17,7.727254377409866e+16,1.364973061539066e+17,8.112669942818989e+16,5.569421572109004e+16,5.150855054229392e+16,2.6476901020239643e+20
5919.592322744319,-261780754879781.22,-131323910930333.67,-90914173217745.06,-82942468238116.36,-293919333167956.0,-153053124727824.7,-281597329712716.2,-155225390872062.12,-84965108858319.16,-69211849303191.24,-58258246033369.805,26652764780531.777,5.6128652099331704e+16,6.773533137374425e+18,4.945548338432046e+17,1.2074815291171653e+17,6.184100646688938e+16,4.43407827051698e+16,3.9648208467045864e+16,1.321550842907772e+17,7.0060249084374904e+16,1.2751331780984013e+17,7.17465343109284e+16,4.041350184385589e+16,3.3489343751514976e+16,4.9142075583968366e+20,3.9711458829202616e+16,1.5604358649653376e+17,2.5188369742506822e+17,7.560996353899047e+18,5.3030636602296e+17,1.6433799337577616e+17,9.244060309126736e+16,8.028627016215227e+16,6.5735533557714296e+16,1.6492982715516934e+17,9.260526384438414e+16,1.6312809836106563e+17,9.841403187053381e+16,6.486560999691473e+16,5.9490312641892584e+16,3.063478939251854e+20
7203.510787293182,-313036462085324.06,-156530288543673.72,-109719139838281.36,-93490912945078.92,-350905360911302.25,-183199728863233.38,-335466580180353.25,-188539095955774.94,-97987431185566.92,-78882580847374.95,-88944351908730.1,24661665100780.625,5.880279663465686e+16,8.640985258998377e+18,5.789315258255372e+17,1.4399187809460437e+17,7.349088888968934e+16,5.328033183223748e+16,4.450161038035252e+16,1.573972215462415e+17,8.365360671404136e+16,1.5152336869386147e+17,8.690088226823163e+16,4.64289225491618e+16,3.8010951791153784e+16,5.706371691005888e+20,4.176090254960461e+16,1.6426714362870838e+17,2.6483084281296915e+17,9.659992543971717e+18,6.220568902150732e+17,1.9596652006133107e+17,1.0989053214423173e+17,9.647231243978104e+16,7.387154953546131e+16,1.964250298325657e+17,1.1059803122432453e+17,1.938279152645775e+17,1.1915276794030514e+17,7.444458513873978e+16,6.7550582554901e+16,3.4517034778263526e+20
8744.212944751818,-372314503972444.7,-185741915288861.5,-131096732691761.6,-102884500905761.39,-416824724599660.75,-218828168523442.75,-397468592978101.1,-228793971789117.66,-111209083461465.84,-88276357583075.28,-130778175898096.69,23080985053622.176,6.1013103387797864e+16,1.092486158671969e+19,6.659105139826785e+17,1.708796338664328e+17,8.700258444820459e+16,6.343771175551439e+16,4.881869438856074e+16,1.8660196662446442e+17,9.973401458013486e+16,1.791640014748972e+17,1.0521648583543258e+17,5.252863624101937e+16,4.239985922915244e+16,6.610512826641788e+20,4.348294164289117e+16,1.7120553561014102e+17,2.757015806408303e+17,1.2231959431232133e+19,7.173134473132275e+17,2.325383323809091e+17,1.3013154162474837e+17,1.148546487545772e+17,8.112390126558608e+16,2.328508245627155e+17,1.3189575481976573e+17,2.2914963463640218e+17,1.441931426125941e+17,8.411682313163288e+16,7.537875585429136e+16,3.819788622108771e+20
10593.055533702181,-440710569511964.25,-219833302644966.72,-155073477231122.44,-110846622297031.8,-492914604108148.25,-261418644171375.7,-468727769752836.7,-277757178795879.06,-124067483286105.98,-96983056000499.08,-186176702884188.28,21874656078665.824,6.2754339107146744e+16,1.3684366342293328e+19,7.518345913952371e+17,2.0190882425406573e+17,1.0278383134927925e+17,7.482756517203566e+16,5.247900592900729e+16,2.2031750104437098e+17,1.189741701509302e+17,2.109367019536168e+17,1.2749637903264954e+17,5.845165025673573e+16,4.6464604582393544e+16,7.646969085004724e+20,4.486250373525653e+16,1.76787190794034e+17,2.8440403363643712e+17,1.5345512511793132e+19,8.12086887553527e+17,2.7472282789658413e+17,1.5376932749359197e+17,1.354588955862328e+17,8.728386470815861e+16,2.7488580800687894e+17,1.573973796378203e+17,2.6972462349002666e+17,1.7462560525198083e+17,9.346601379691725e+16,8.263301451111286e+16,4.1774325276484495e+20
12811.666640442618,-519412696625264.6,-260020091911679.22,-181639768672569.9,-117350176462466.98,-580510741320574.1,-312891783972103.0,-550523093673710.6,-337622156493657.9,-135905378168712.8,-104612370867588.7,-257639395427807.97,20995787455829.715,6.405589655290302e+16,1.6975271864924566e+19,8.329093962906833e+17,2.3761845331216906e+17,1.2139945858248318e+17,8.744829736396394e+16,5.547412360911688e+16,2.591356466390451e+17,1.422427219289679e+17,2.4741136648188605e+17,1.5473667137061773e+17,6.389527733889121e+16,5.0023410712435e+16,8.837253327737132e+20,4.591103488166541e+16,1.8104683104872806e+17,2.9101376248329715e+17,1.9065251904565985e+19,9.020663896989032e+17,3.232445723982501e+17,1.8164150163567174e+17,1.582814538195432e+17,9.233179932020907e+16,3.232630574723429e+17,1.882614323009236e+17,3.162695921356812e+17,2.118072055821654e+17,1.0201915731837766e+17,8.898846056342133e+16,4.53143987178145e+20
15473.999968531141,-609663791265927.0,-307859132111320.9,-210749482490907.03,-122539709744832.28,-681015431512754.0,-375382973293074.5,-644276239995116.0,-410971579807518.8,-146099201742434.16,-110867067413936.88,-347578438166635.56,20388617237360.543,6.497458010550136e+16,2.0848598758710608e+19,9.057934422626804e+17,2.7857208322146797e+17,1.4356976282728018e+17,1.012803931664919e+17,5.787084118453735e+16,3.036778798922164e+17,1.7049912601775344e+17,2.8922096869799245e+17,1.8810995220397418e+17,6.8574716503424824e+16,5.2938407533364824e+16,1.0204139193734411e+21,4.6663028846859176e+16,1.841136285588982e+17,2.957512375112588e+17,2.344974553414057e+19,9.833221330857055e+17,3.7886043673011066e+17,2.1481705692611942e+17,1.832857991452505e+17,9.637678689250765e+16,3.787531325218161e+17,2.257618111020669e+17,3.69580486049124e+17,2.5734345161542454e+17,1.0933954424485813e+17,9.419796352748602e+16,4.8840022900399715e+20
18668.799962237368,-712688981058749.6,-365040096055951.56,-242259732299733.25,-126619422829701.27,-795861022734057.1,-450789124720155.25,-751499929404118.5,-500634858518759.75,-154219269929382.97,-115608768634186.95,-458104972730269.6,19993471280423.125,6.558368948897541e+16,2.535020277208456e+19,9.680586090124623e+17,3.253249072626943e+17,1.7007261031121843e+17,1.1625656684124075e+17,5.976090817467375e+16,3.5457934280043776e+17,2.0458930855851174e+17,3.3703880127899085e+17,2.2890142293032733e+17,7.229601036090936e+16,5.514614610621748e+16,1.1771816642564459e+21,4.716896973604337e+16,1.8618425279231434e+17,2.9893691201733357e+17,2.855066422051264e+19,1.0529166310304522e+18,4.4231533674843174e+17,2.544534141688124e+17,2.103487725926327e+17,9.957190224612064e+16,4.42144053471316e+17,2.7101226952334102e+17,4.305050769403406e+17,3.130062571347592e+17,1.1513729825857824e+17,9.814673990842822e+16,5.233227782564258e+20
