t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
100.0,-3.855335241347644e-14,-3.0865658064855523e-44,1.7625738149684575e-61,-1.440448957452651e-74,-5.347187866836961e-13,-1.082978906628805e-70,-1.9094770124615438e-13,-8.453154165150393e-43,-2.2589922072197292e-79,-2.5039447573022603e-69,-59512420.88857389,119345851815206.62,1.6356217050246384e+16,8341248973722.193,1.5264934670615734e-76,8.691493822100334e-10,6.980542791629501e-40,-4.1921755179618547e-57,5.7632634003498395e-70,1.1511922025458135e-08,2.2300658670674439e-66,4.190859119833747e-09,1.8958756339856183e-38,3.944611712431438e-75,6.004068977704656e-65,722.9122173408239,3.7923479968762015e-80
220.0,-5.254500012704961e-11,-1.6837864342812725e-38,3.463233262075144e-55,-6.066605440983886e-67,-5.301795138347719e-10,-1.4282950361332404e-60,-2.127352426429117e-10,-2.5788315349368506e-37,1.119923676253341e-71,-3.3677723564282035e-63,-636713168.9827302,73239364756837.73,2.530645383824482e+16,71681769309885.81,7.978526668241588e-69,1.2122686620428756e-06,3.898823551017175e-34,-8.820318139853444e-51,2.037793821638062e-62,1.1638374436767785e-05,2.99693612056179e-56,4.7687094157226975e-06,5.909969201439715e-33,-2.8758145959790692e-67,8.14450041087422e-59,71614.38857452919,2.4834188632901307e-70
364.0,-2.019308771743263e-08,-1.1832981557210435e-33,-5.607474554168815e-49,-1.9927489730229468e-60,-1.5541221154233824e-07,-1.8496674951412305e-52,-6.910960251679816e-08,-1.2631905904533966e-32,-7.185656547263519e-66,1.0829112487424331e-57,-3716684210.169617,54082045448946.19,3.2880285709586624e+16,314198369532941.0,-1.077131222822987e-61,0.00048551580901326377,2.857138557200858e-29,1.3901260059832575e-44,6.402372027550345e-56,0.003540369110550798,4.0206609685320716e-48,0.0016099165057916853,3.0105330862368473e-28,1.7588669538466365e-61,-2.8860680570244526e-53,2972050.955625117,1.4566704312901559e-61
536.8,-3.247354145649802e-06,-1.858921804775472e-29,-2.0377749182132396e-43,-1.0590052254484827e-54,-1.985530969633112e-05,-1.0770989110681118e-45,-9.670970988645078e-06,-1.5511083780368222e-28,-9.78238462906642e-59,1.0028827172098343e-53,-22377443190.69197,43313386723119.734,3.9694408665309416e+16,949917103694965.5,-5.245217774806252e-55,0.08268937647751069,4.754933536223922e-25,5.459896879819537e-39,3.436072372249238e-50,0.47651724528907013,2.4584912526234163e-41,0.2376793857682509,3.902673255423702e-24,2.5404526236461838e-54,-5.502335150955221e-50,70202437.38639316,2.1118875802504245e-53
744.16,-0.00026485411439641847,-8.941834890726198e-26,-1.21436778628474e-38,-1.33955769153187e-49,-0.0013317205098629583,-6.5066677793206246e-40,-0.0007025469653782033,-6.210355805258445e-25,-6.34591995738512e-52,-1.2889058486885533e-46,-132718964092.30402,36211984498006.79,4.582465372338864e+16,2242603367662105.5,-2.7136900819718564e-49,7.244007879037532,2.4557701161592997e-21,3.5282434641310448e-34,4.5396075594213244e-45,34.1050306566402,1.5765579867060305e-35,18.454454781062303,1.6703995320633518e-20,1.7640231266726595e-47,3.913942304702452e-42,1078536937.018396,3.93034160768937e-46
992.992,-0.012339237353557776,-1.619846875948887e-22,-1.951920868767931e-34,-5.04898443264594e-45,-0.05256407578808247,-6.809343899676368e-35,-0.02970797590135998,-9.748065733970957e-22,-5.114814157352422e-46,-8.639148198860184e-42,-503960058969.17615,31134239778703.33,5.118573083176091e+16,4422716235165514.0,-2.8679366233463504e-44,366.9898408280203,4.830179538634391e-18,6.216426620153387e-30,1.8292320598122327e-40,1451.947521012146,1.7663591279013593e-30,843.3328426550306,2.831399395081204e-17,1.5382824338736822e-41,2.8567676661674568e-37,11648022860.088528,9.892662519762921e-40
1291.5904,-0.35724350080155676,-1.282676491332627e-19,-1.063878809911859e-30,-6.498429537784692e-41,-1.3227945884808145,-1.7405898253247198e-30,-0.7929002874753117,-6.88722354164993e-19,-7.626549818373774e-41,-1.338337321395368e-37,-1234746840005.2217,27385011032625.6,5.567412490922054e+16,7632722269160221.0,-8.295318960959104e-40,11676.449898461236,4.1904587854727526e-15,3.752849308158173e-26,2.5579864359073732e-36,39754.145820397454,4.864148117121913e-26,24547.649172650916,2.177297953034779e-14,2.501838574638328e-36,4.8902713579202566e-33,93269381565.92603,4.334092682474431e-34
1649.90848,-6.861504632357183,-4.97797846776177e-17,-2.2953206851806033e-27,-3.3915137599651613e-37,-22.568886316469776,-1.3898002614600124e-26,-14.223791703578383,-2.4416657985959514e-16,-2.8074893419458343e-36,-6.673629433980612e-34,-2293729610427.284,24626240476146.89,5.923598636847507e+16,1.191824765165874e+16,-7.9372168798098e-36,248641.59076695456,1.7943960765648166e-12,9.050637404132311e-23,1.4545097860613219e-32,742868.0726012667,4.2016438919041574e-22,483716.2553610112,8.449686970212852e-12,1.0108661725800607e-31,2.7229977510355533e-29,576895987249.0886,4.1615543039017264e-29
2079.890176,-92.21681251834916,-1.0380901629355814e-14,-2.2089734354179906e-24,-4.536266088993591e-33,-274.38410351859847,-4.169575458491071e-23,-180.54889665909658,-4.7464647064684736e-14,-3.155768820607357e-32,-1.2876951997816647e-30,-3576910438507.8457,22657684586767.18,6.189415320179754e+16,1.7243152645203108e+16,-2.8635646191392606e-32,3730732.471336389,4.150358940159153e-10,9.812384976980307e-20,1.9490466983678157e-28,9936496.499848392,1.3668535498864e-18,6779237.786565681,1.8047958186856524e-09,1.2527425922299493e-27,5.916331182288246e-26,2850836454354.361,1.0670876655599097e-24
2595.8682111999997,-906.8131293327863,-1.2555961830002985e-12,-1.0459440191306206e-21,-1.8842219048329774e-28,-2477.9949094796816,-5.424862682668589e-20,-1693.1850226405727,-5.450818785025761e-12,-1.2912630889944692e-28,-1.0984513543288411e-27,-4957405190807.873,21323332774885.895,6.374624078097532e+16,2.351868575664e+16,-4.3035814156755576e-29,41160165.065371044,5.587276212975523e-08,5.268063314253872e-17,8.968200791493256e-24,98955792.29081994,1.929582304642422e-15,70401134.40010458,2.2815250400502065e-07,5.665396455884164e-24,5.721449143533899e-23,11581577609900.906,8.662302954329949e-21
