t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total solute surface 21
364.0,-8094757121986.078,-3379986936836.015,-1502725911716.979,-1670269998687.1204,-10058581100562.762,-4498243102411.093,-9463115037515.367,-4112034803282.7393,-1979641888758.8574,-1397107055937.6853,-81001945.2735444,105921117895993.98,1.6120295240676948e+16,1.495846549644061e+17,2.756014331143558e+16,7259490860379482.0,3741588521871838.0,2256533266534098.5,2303592490392405.0,8283211585051343.0,4390833703094607.0,7973742764065894.0,4168230342252673.0,2566473722538680.0,2110883603001795.2,3.884661648278276e+19,1.1083507132501348e+16,4.321078827108272e+16,7.041459064426091e+16,1.6483112882311165e+17,2.949045360226468e+16,9861036261366524.0,5575681243885014.0,4068572717929685.0,3797770090193986.0,1.0329104671818846e+16,5804688101838158.0,1.0186030905260396e+16,5721711544858291.0,4109734137531313.5,3735027292493590.0,9.701353147638116e+18
536.8,-15815642915434.46,-7115773743948.693,-3566899857371.715,-3830720717320.2314,-19039931307612.168,-9010562348628.24,-18062483859955.82,-8360364464564.23,-4411271741293.066,-3310394582481.9097,-512419829.1489246,87126893839289.03,1.9642210074417836e+16,2.5906342353977133e+17,4.26167036517297e+16,1.1430027549148608e+16,5948710404069153.0,3658947591276131.0,3718960302232673.5,1.2941704950897318e+16,6907712717154994.0,1.2484468233636176e+16,6580579120233182.0,4109526841382225.5,3411161477671537.0,5.70225131779157e+19,1.3522505395549092e+16,5.27380141358008e+16,8.590272960576754e+16,2.8566251740279296e+17,4.560708060174862e+16,1.5558926434511916e+16,8887647714722982.0,6616441593197778.0,6149373301481613.0,1.616446954552198e+16,9149653229149752.0,1.597799565136568e+16,9053691273559672.0,6602512675112166.0,6053459535016079.0,1.5127561570349961e+19
744.16,-25749095661066.63,-12092474394686.166,-6528679436056.076,-6875703906943.539,-30396315578031.34,-14849944958529.715,-28987320925139.96,-13909096373756.803,-7752186435280.23,-6038005185725.522,-3008047998.2203593,73844219883394.16,2.315913590150184e+16,4.117939017737567e+17,6.10294209092937e+16,1.6455952261441454e+16,8624716732400032.0,5397319899808950.0,5471527328660208.0,1.8516917984214028e+16,9928556996835522.0,1.789343702535828e+16,9486757031163382.0,5988909489956575.0,5009697496343817.0,7.858692508109144e+19,1.5967171927636064e+16,6.229708324055578e+16,1.0142339106969374e+17,4.544394510353824e+17,6.531026246125723e+16,2.2426310000999196e+16,1.2903631036350362e+16,9776307046249132.0,9061204009660670.0,2.31478768481167e+16,1.3163236214310876e+16,2.2924006320787764e+16,1.3067493200480418e+16,9641100561861968.0,8904614785537264.0,2.2494816503224545e+19
992.992,-37862721125381.03,-18256514035653.992,-10350628146689.465,-10789605467801.816,-44124095213323.87,-21978705076333.92,-42225683079403.89,-20717770480924.86,-11943510321086.123,-9523673866037.252,-20069506905.898186,63806411373653.03,2.674573685369829e+16,6.190859693771133e+17,8.337094065516816e+16,2.240970109340682e+16,1.1802851475303518e+16,7498243042091001.0,7597816818088026.0,2.5092766111149564e+16,1.3493955814935994e+16,2.4281255106938644e+16,1.2926284324174622e+16,8221943419578397.0,6920512165140600.0,1.0406029791784647e+20,1.8470369354872416e+16,7.209581283018595e+16,1.1731191903875642e+17,6.838402816149449e+17,8.920788661361525e+16,3.0559586380242932e+16,1.767141975286163e+16,1.3594866775046502e+16,1.2591003710655568e+16,3.1382471395925e+16,1.789768968166363e+16,3.1125345456284492e+16,1.7815749265966326e+16,1.3251737452407568e+16,1.2311542613747826e+16,3.278335317999049e+19
1291.5904,-52312972831675.42,-25662311153515.152,-15064515505599.154,-15639426187333.215,-60425705364995.0,-30482973000214.094,-57966495196552.85,-28866533554365.977,-16994177736089.834,-13763962535520.377,-120401251578.64175,55863227495297.59,3.043774682613571e+16,8.948354321801644e+17,1.1034413514217856e+17,2.940781088011411e+16,1.5540816482750274e+16,1.0007304477050432e+16,1.0156693445794904e+16,3.2800704676977068e+16,1.7671952940395468e+16,3.177497043071035e+16,1.696603263288607e+16,1.0838968092431702e+16,9168391822458220.0,1.3394440573098603e+20,2.105958056045455e+16,8.224459744712062e+16,1.3374192483371066e+17,9.894971998302897e+17,1.1804732707728774e+17,4.01165760693252e+16,2.3276375477719616e+16,1.815409528366542e+16,1.683419071639478e+16,4.103193628596016e+16,2.344247280287662e+16,4.0743978919281176e+16,2.338961752422821e+16,1.7482199292451058e+16,1.6317217328465834e+16,4.748999009401856e+19
1649.90848,-69386768845121.836,-34442722223199.523,-20769259975144.75,-21558652263398.67,-79637939518575.72,-40530398608982.01,-76531297485008.02,-38518786776818.664,-22957217775375.08,-18794935045616.14,-526486788510.1704,49370468302318.0,3.423879683224107e+16,1.2561065804957693e+18,1.4276415797180285e+17,3.7602874550835864e+16,1.991679073050373e+16,1.2989547704647968e+16,1.3224586610380472e+16,4.1809853005322104e+16,2.255230265049505e+16,4.053849406580401e+16,2.169542535794748e+16,1.3877317435492022e+16,1.1783886351923248e+16,1.686454260350416e+20,2.37412705480712e+16,9.277308161959094e+16,1.507531489999033e+17,1.3906627988184468e+18,1.5269750699336934e+17,5.1304870586915704e+16,2.9835029443321456e+16,2.357183131314486e+16,2.1916503682534904e+16,5.230750436142217e+16,2.991614840713686e+16,5.198961447486873e+16,2.9911673552456096e+16,2.2391710164415524e+16,2.0975577186966012e+16,6.848773357941704e+19
2079.890176,-89464158867442.8,-44786139483722.945,-27621312628776.14,-28712583928514.934,-102193654862529.22,-52345340442543.81,-98335243013773.02,-49898008809850.45,-29901234321746.973,-24665799923697.316,-1703115457777.5403,43939626695492.46,3.812184073950468e+16,1.7238916859320077e+18,1.815283293744855e+17,4.717853089853149e+16,2.5026461800731256e+16,1.6529692502314976e+16,1.6882815910780412e+16,5.232221185329336e+16,2.824344385415499e+16,5.076728481963186e+16,2.722391493731446e+16,1.7373559815762882e+16,1.4795209633837704e+16,2.0840863091147637e+20,2.6501227680272412e+16,1.0363080346546136e+17,1.682538718852385e+17,1.9110674657105756e+18,1.9412032837819117e+17,6.43745307640698e+16,3.74903488429231e+16,3.000196890936831e+16,2.797435664531777e+16,6.546158989685873e+16,3.746210685038576e+16,6.511242308279791e+16,3.753209592190199e+16,2.8038001512055036e+16,2.6337197527439664e+16,9.726047552401777e+19
2595.8682111999997,-112999408641328.86,-56923724572680.16,-35828912954701.7,-37243458194823.766,-128606230150539.78,-66198395126986.99,-123869126225009.22,-63278061754519.65,-37883726353863.086,-31409900368494.31,-4398780615349.479,39325288607146.016,4.203074296755717e+16,2.324018035666977e+18,2.275519041188276e+17,5.834713106818883e+16,3.098152437218012e+16,2.0733050638036252e+16,2.1193787308586704e+16,6.457147793955495e+16,3.4871815240855264e+16,6.268618755768093e+16,3.368075071206772e+16,2.135460896163423e+16,1.8217941655626184e+16,2.533404928143677e+20,2.9304642902593452e+16,1.1468638373597472e+17,1.8602176960612554e+17,2.5799407211871974e+18,2.4330968810913226e+17,7.961457550856949e+16,4.640933001770443e+16,3.7635942513047704e+16,3.5116919536991364e+16,8.078605992915226e+16,4.624753508418302e+16,8.039992281117208e+16,4.642810914439148e+16,3.446243558326807e+16,3.243105135632124e+16,1.3378195942843095e+20
3215.0418534399996,-140513450619144.31,-71124106136051.34,-45650215288960.87,-47193970199462.9,-159466194113646.7,-82404426140272.67,-153693271980284.6,-78982594306504.77,-46927508764004.97,-39017048601249.875,-9634944773676.883,35370237612212.24,4.588463003675016e+16,3.088128393065005e+18,2.816461902092206e+17,7.134919145591068e+16,3.790941859575315e+16,2.572659195179303e+16,2.6166738750621344e+16,7.882392583107134e+16,4.258271526298267e+16,7.65492539701793e+16,4.121662542611597e+16,2.582888079339246e+16,2.2044409429083932e+16,3.0355939888649896e+20,3.2097909349608652e+16,1.2573320489192064e+17,2.0371574427827923e+17,3.433125483049896e+18,3.011743509936718e+17,9.735197323772491e+16,5.678254394605826e+16,4.670440521457512e+16,4.336940603586634e+16,9.861315059979032e+16,5.64645145163828e+16,9.817646118907691e+16,5.680606414631725e+16,4.167507001693459e+16,3.924538153114776e+16,1.760280204344014e+20
3958.050224127999,-172592563081075.6,-87692633228823.88,-57389645972293.69,-58424551725223.13,-195443710018733.22,-101324964328662.45,-188437885872517.28,-97390440144971.17,-57002392481143.87,-47412249984519.44,-18663925474942.57,31975703101396.39,4.958597173229247e+16,4.05458314596031e+18,3.443202055692468e+17,8.645403481457955e+16,4.595397365617744e+16,3.165767570832445e+16,3.1721653936646276e+16,9.538044477272662e+16,5.154208146457398e+16,9.264096384184283e+16,5.0006956182214184e+16,3.0779090760663156e+16,2.623541363369019e+16,3.594216555391341e+20,3.4813103313074216e+16,1.3650566665894696e+17,2.209047417043133e+17,4.514133227191498e+18,3.683430773246012e+17,1.1795227830439338e+17,6.882510469764045e+16,5.747440429159397e+16,5.2610421047024024e+16,1.1931784791165146e+17,6.833238668959268e+16,1.1880452322760888e+17,6.890578262480697e+16,4.964242386099303e+16,4.671225860530619e+16,2.2070836152131807e+20
